owner_id,apartment_id,name,email,phone,ownership_percentage,is_primary,id_type,id_number,bank_account
1,1,Owner 1,owner1@example.com,0556-928-3087,100.0,True,Driving License,1431242,AE379134719373509715
2,2,Owner 2,owner2@example.com,0582-774-4780,50.0,True,Passport,2361851,AE368791390059860238
3,2,Owner 3,owner3@example.com,0557-671-1280,50.0,False,Emirates ID,1454219,AE899784510958515605
4,3,Owner 4,owner4@example.com,0590-292-2013,50.0,True,Emirates ID,3854061,AE684865438787468444
5,3,Owner 5,owner5@example.com,0560-544-2939,50.0,False,Passport,6516661,AE367557671196049775
6,4,Owner 6,owner6@example.com,0577-420-6367,50.0,True,Emirates ID,9440829,AE729939309812351999
7,4,Owner 7,owner7@example.com,0568-371-1335,50.0,False,Passport,6389074,AE662440430237214730
8,5,Owner 8,owner8@example.com,0527-108-2570,100.0,True,Emirates ID,1244982,AE240978060821607422
9,6,Owner 9,owner9@example.com,0587-480-7550,33.33,True,Driving License,9984414,AE945977888060779403
10,6,Owner 10,owner10@example.com,0517-586-4262,33.33,False,Passport,2152679,AE305420500685504899
11,6,Owner 11,owner11@example.com,0591-540-8800,33.33,False,Passport,1922111,AE965717523977101993
12,7,Owner 12,owner12@example.com,0574-292-2661,100.0,True,Driving License,1108542,AE890903182102228330
13,8,Owner 13,owner13@example.com,0550-401-9930,100.0,True,Passport,2457052,AE618664694286611414
14,9,Owner 14,owner14@example.com,0513-170-2533,33.33,True,Driving License,7342417,AE596855627837225379
15,9,Owner 15,owner15@example.com,0579-545-1894,33.33,False,Passport,8896178,AE766700168432392629
16,9,Owner 16,owner16@example.com,0590-414-6942,33.33,False,Passport,7710105,AE279589264698522635
17,10,Owner 17,owner17@example.com,0588-496-3678,100.0,True,Driving License,4070469,AE837026325354999220
18,11,Owner 18,owner18@example.com,0561-485-4012,50.0,True,Emirates ID,2545010,AE933067805109952265
19,11,Owner 19,owner19@example.com,0565-782-9705,50.0,False,Passport,8697075,AE386437597382660446
